Attack Type,Year,Month,Amount,Date
Bombing/Explosion,2003,1,91,01/01/03
Bombing/Explosion,2003,2,52,02/01/03
Bombing/Explosion,2003,3,120,03/01/03
Bombing/Explosion,2003,4,36,04/01/03
Bombing/Explosion,2003,5,95,05/01/03
Bombing/Explosion,2003,6,23,06/01/03
Bombing/Explosion,2003,7,61,07/01/03
Bombing/Explosion,2003,8,27,08/01/03
Bombing/Explosion,2003,9,43,09/01/03
Bombing/Explosion,2003,10,38,10/01/03
Bombing/Explosion,2003,11,53,11/01/03
Bombing/Explosion,2003,12,50,12/01/03
Bombing/Explosion,2004,1,51,01/01/04
Bombing/Explosion,2004,2,29,02/01/04
Bombing/Explosion,2004,3,37,03/01/04
Bombing/Explosion,2004,4,40,04/01/04
Bombing/Explosion,2004,5,49,05/01/04
Bombing/Explosion,2004,6,85,06/01/04
Bombing/Explosion,2004,7,60,07/01/04
Bombing/Explosion,2004,8,81,08/01/04
Bombing/Explosion,2004,9,55,09/01/04
Bombing/Explosion,2004,10,73,10/01/04
Bombing/Explosion,2004,11,45,11/01/04
Bombing/Explosion,2004,12,54,12/01/04
Bombing/Explosion,2005,1,98,01/01/05
Bombing/Explosion,2005,2,42,02/01/05
Bombing/Explosion,2005,3,114,03/01/05
Bombing/Explosion,2005,4,108,04/01/05
Bombing/Explosion,2005,5,123,05/01/05
Bombing/Explosion,2005,6,67,06/01/05
Bombing/Explosion,2005,7,149,07/01/05
Bombing/Explosion,2005,8,124,08/01/05
Bombing/Explosion,2005,9,66,09/01/05
Bombing/Explosion,2005,10,62,10/01/05
Bombing/Explosion,2005,11,54,11/01/05
Bombing/Explosion,2005,12,57,12/01/05
Bombing/Explosion,2006,1,124,01/01/06
Bombing/Explosion,2006,2,247,02/01/06
Bombing/Explosion,2006,3,73,03/01/06
Bombing/Explosion,2006,4,182,04/01/06
Bombing/Explosion,2006,5,109,05/01/06
Bombing/Explosion,2006,6,70,06/01/06
Bombing/Explosion,2006,7,163,07/01/06
Bombing/Explosion,2006,8,149,08/01/06
Bombing/Explosion,2006,9,100,09/01/06
Bombing/Explosion,2006,10,107,10/01/06
Bombing/Explosion,2006,11,80,11/01/06
Bombing/Explosion,2006,12,102,12/01/06
Bombing/Explosion,2007,1,109,01/01/07
Bombing/Explosion,2007,2,135,02/01/07
Bombing/Explosion,2007,3,118,03/01/07
Bombing/Explosion,2007,4,113,04/01/07
Bombing/Explosion,2007,5,107,05/01/07
Bombing/Explosion,2007,6,324,06/01/07
Bombing/Explosion,2007,7,142,07/01/07
Bombing/Explosion,2007,8,105,08/01/07
Bombing/Explosion,2007,9,112,09/01/07
Bombing/Explosion,2007,10,227,10/01/07
Bombing/Explosion,2007,11,261,11/01/07
Bombing/Explosion,2007,12,113,12/01/07
Bombing/Explosion,2008,1,197,01/01/08
Bombing/Explosion,2008,2,95,02/01/08
